Version
1.0
Number,Name,Retail,Wholesale,Section,Category,Discontinued,Taxable
062150,At Play Baked Eye Trio: Neapolitan,13.0,6.5,1,At Play,false,false
081938,At Play Baked Eye Trio: Out of the Blue,13.0,6.5,1,At Play,false,false
081940,At Play Baked Eye Trio: Purple Eclipse,13.0,6.5,1,At Play,false,false
062148,At Play Baked Eye Trio: Sunset Beach,13.0,6.5,1,At Play,false,false
074049,At Play Bold Fluid Eyeliner: Blue My Mind,10.0,5.0,1,At Play,false,false
074053,At Play Bold Fluid Eyeliner: Gold Metal,10.0,5.0,1,At Play,false,false
074051,At Play Bold Fluid Eyeliner: Hello Violet,10.0,5.0,1,At Play,false,false
074050,At Play Bold Fluid Eyeliner: The Real Teal,10.0,5.0,1,At Play,false,false
064905,At Play Eye Crayon: Gold Mine,10.0,5.0,1,At Play,false,false
069229,At Play Eye Crayon: Over the Taupe,10.0,5.0,1,At Play,false,false
069230,At Play Eye Crayon: Teal Me More,10.0,5.0,1,At Play,false,false
081929,At Play Jelly Lip Gloss: Glow With It,10.0,5.0,1,At Play,false,false
081931,At Play Jelly Lip Gloss: Jammin’ Berry,10.0,5.0,1,At Play,false,false
062091,At Play Jelly Lip Gloss: Poppy Love,10.0,5.0,1,At Play,false,false
062086,At Play Jelly Lip Gloss: Teddy Bare,10.0,5.0,1,At Play,false,false
062093,At Play Jelly Lip Gloss: Violet Vixen,10.0,5.0,1,At Play,false,false
084169,At Play Lip & Cheek Stick: Peach Pop,10.0,5.0,1,At Play,false,false
084183,At Play Lip & Cheek Stick: Razzleberry,10.0,5.0,1,At Play,false,false
064925,At Play Lip Crayon: Perfect Pink,10.0,5.0,1,At Play,false,false
069248,At Play Lip Crayon: Purple Punch,10.0,5.0,1,At Play,false,false
064923,At Play Lip Crayon: Toasted,10.0,5.0,1,At Play,false,false
084188,At Play Shadow & Liner: Caramellow,13.0,6.5,1,At Play,false,false
084187,At Play Shadow & Liner: Iced Lilac,13.0,6.5,1,At Play,false,false
084189,At Play Shadow & Liner: Mint to Be,13.0,6.5,1,At Play,false,false
084186,At Play Shadow & Liner: Rebel Rose,13.0,6.5,1,At Play,false,false
074044,At Play Triple Layer Lip Balm: Atomic Red,10.0,5.0,1,At Play,false,false
074042,At Play Triple Layer Lip Balm: In The Plum,10.0,5.0,1,At Play,false,false
074043,At Play Triple Layer Lip Balm: Orange You Lovely,10.0,5.0,1,At Play,false,false
074041,At Play Triple Layer Lip Balm: Pink Again,10.0,5.0,1,At Play,false,false
073782,2-In-1 Body Wash & Shave,16.0,8.0,1,Body Care,false,true
073789,Hydrating Lotion,16.0,8.0,1,Body Care,false,true
014096,Mint Bliss: Energizing Lotion for Feet & Legs,11.0,5.5,1,Body Care,false,true
031832,Satin Hands: Hand Cream - Fragrance-Free,10.0,5.0,1,Body Care,false,false
031827,Satin Hands: Hand Cream - Peach,10.0,5.0,1,Body Care,false,false
032362,Satin Hands: Pampering Set - Fragrance-Free,35.0,17.5,1,Body Care,false,false
032361,Satin Hands: Pampering Set - Peach,35.0,17.5,1,Body Care,false,false
061457,Botanical Effects 4 pc. Regimen Bundle - Formula 1 – Dry,58.0,29.0,1,Botanical Effects Skin Care,false,false
061458,Botanical Effects 4 pc. Regimen Bundle – Formula 2 – Normal,58.0,29.0,1,Botanical Effects Skin Care,false,false
061459,Botanical Effects 4 pc. Regimen Bundle – Formula 3 – Oily,58.0,29.0,1,Botanical Effects Skin Care,false,false
049505,Botanical Effects Cleanse Formula 1 (Dry Skin),14.0,7.0,1,Botanical Effects Skin Care,false,false
049513,Botanical Effects Cleanse Formula 2 (Normal Skin),14.0,7.0,1,Botanical Effects Skin Care,false,false
049516,Botanical Effects Cleanse Formula 3 (Oily Skin),14.0,7.0,1,Botanical Effects Skin Care,false,false
049797,Botanical Effects Freshen Formula 1 (Dry Skin),14.0,7.0,1,Botanical Effects Skin Care,false,false
049807,Botanical Effects Freshen Formula 2 (Normal Skin),14.0,7.0,1,Botanical Effects Skin Care,false,false
049810,Botanical Effects Freshen Formula 3 (Oily Skin),14.0,7.0,1,Botanical Effects Skin Care,false,false
050133,Botanical Effects Mask Formula 1 (Dry Skin),14.0,7.0,1,Botanical Effects Skin Care,false,false
050141,Botanical Effects Mask Formula 2 (Normal Skin),14.0,7.0,1,Botanical Effects Skin Care,false,false
050144,Botanical Effects Mask Formula 3 (Oily Skin),14.0,7.0,1,Botanical Effects Skin Care,false,false
069076,Bronzing Powder: Light-Medium,18.0,9.0,1,Bronzing Powder,false,false
069077,Bronzing Powder: Medium-Dark,18.0,9.0,1,Bronzing Powder,false,false
034734,Brow Definer Pencil: Blonde,11.0,5.5,1,Brow Definer Pencil,false,true
034731,Brow Definer Pencil: Brunette,11.0,5.5,1,Brow Definer Pencil,false,true
034730,Brow Definer Pencil: Classic Blonde,11.0,5.5,1,Brow Definer Pencil,false,true
